,ZIP,Earthquake_intersection_count,Recent_Fire_Count,All_Fire_Count,all_fire_acre_sum,intersect_fire_severity_count,fire_severity_overlap_area_sum,earthquake_overlap_area,Fatalities,Injuries,value,Xgroup,Ygroup
32,94519,1,0,0,0,0,0,2511649.392,0,0,0.386236977,C,8
107,94080,0,1,5,2020.751236,0,0,0,0,0,0.39606408,C,9
26,94925,0,0,1,0,1,10579083.66,0,0,0,0.396459536,C,10
84,94127,2,0,0,0,0,0,541533.7034,0,0,0.401503898,C,11
40,94133,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,12
41,94111,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,13
42,94108,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,14
44,94105,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,15
45,94104,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,16
46,94102,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,17
47,94103,1,0,0,0,0,0,16513664.77,0,0,0.401994833,C,18
76,94121,2,0,0,0,0,0,1577419.229,0,0,0.402447488,C,19
130,94503,0,2,7,3540.565399,0,0,0,0,0,0.403486253,C,20
122,94559,0,1,7,116363.3253,0,0,0,0,0,0.40433603,C,21
129,94954,0,2,7,9605.329697,0,0,0,0,0,0.404836814,C,22
161,94963,0,1,21,33342.69518,0,0,0,0,0,0.405668313,C,23
